user_id,amount,time,is_international,is_fraud
17,3.235379507861118,0.22638214374261167,0,0
154,10.705790382690248,0.3001801702347784,0,0
130,7.4681323282207055,0.4624586639090822,0,0
87,22.60200984812557,0.5937241209734712,0,0
86,9.136997200056184,0.6667968466115415,0,0
171,12.433681185190823,0.6878400649059824,0,0
17,12.778890207338927,0.7127956269979929,1,0
139,19.14104185080204,0.7145741164528197,0,0
40,11.839930311614392,0.7574202434794586,0,0
18,6.9463331085640565,0.9287600085519365,0,0
105,21.884233454204345,1.1742102935027088,0,0
195,58.4097726811282,1.3893896688044105,0,0
147,22.83892222873739,1.609347418125937,0,0
152,10.915453765186463,1.7362061508078863,0,0
77,796.7070985419407,1.7622729431370139,1,1
143,17.758310346780476,1.784110217056618,0,0
157,2.5840740164405536,1.9492370465667541,0,0
81,46.2540768422737,1.959506852630488,1,1
102,17.47195895654926,2.0673439882653444,0,0
25,13.458967747670972,2.2039955021469204,0,0
42,104.25006189101623,2.211064183672049,1,1
167,7.897447784267007,2.3095372933324843,0,0
90,9.467848096780845,2.506985052920463,0,0
100,13.326646117711588,2.5163863987299084,0,0
74,54.18793466491757,2.603696245157474,0,0
36,59.86310767398839,2.682365815886927,0,0
151,179.44954420882738,2.6825944664470787,1,1
185,7.939694817539329,2.803785394415481,0,0
156,11.964245096881777,2.8410912195800364,0,0
128,12.273102051598116,2.882276958800949,0,0
80,45.129923356292196,3.0836236557132057,0,0
164,23.23144044053663,3.1418074905950633,0,0
109,22.038476611623626,3.1686637705564102,0,0
88,34.33834340802589,3.20329786238136,0,0
90,11.062782996253347,3.589175012020487,0,0
45,78.56187841624114,3.7308598814574534,0,0
18,20.050525092861523,3.902255869102529,0,0
110,8.534250639087302,3.9608453086551165,0,0
177,15.96437626020022,4.031595982253258,0,0
12,68.84986911856079,4.060429072212219,1,0
171,13.129450858444805,4.1262485134473526,0,0
165,51.91240604302624,4.21201632499721,0,0
55,10.747296206119515,4.361844333781244,0,0
126,9.340280680388684,4.38500136609127,0,0
33,38.84570085526711,4.553746012609459,1,0
151,8.381504553377368,4.835364597637302,0,0
140,45.72020168211294,4.882751568939572,0,0
70,28.549116760066475,4.952167944719799,1,0
13,8.384678611266336,5.1014550023625915,0,0
