id,topic,question,content,tags,source
KB001,Refund Policy,What is refund policy after 30 days?,"Orders can be refunded within 30 days for full amount. After 30 days, only store credit is issued, and only if product is defective. No cash refunds after 30 days.","refund, policy",policy_doc_v2.pdf p.12
KB002,Shipping,How long does international shipping take?,"International shipping takes 7-14 business days via Standard, 3-5 days via Express. Customs delays may add 2-3 days for EU and India.","shipping, international",shipping_guide.pdf p.3
KB003,Founder,Who founded ShopEase in 2020?,ShopEase was founded in 2020 by Priya Nair and Rohan Mehta in Bangalore. Started as a D2C platform for handmade goods.,"company, founder",about_us.pdf p.1
KB004,Warranty,What is warranty on electronics?,Electronics have 1-year manufacturer warranty. Extended warranty of 2 years available for purchase within 7 days of order. Battery not covered after 6 months.,"warranty, electronics",warranty_terms.pdf p.5
KB005,Payment,Which payment methods are accepted?,"We accept UPI, Credit/Debit Cards (Visa, Mastercard, RuPay), Net Banking, and Cash on Delivery up to Rs.5000. BNPL via LazyPay and Simpl available.","payment, checkout",checkout_faq.pdf p.2
KB006,Return,How to initiate return?,Go to My Orders > Select Item > Return > Choose Reason > Schedule Pickup. Pickup must be within 48h of request. Refund initiated after QC check (24-48h).,"return, process",help_center.pdf p.8
KB007,Account,How to delete account?,"To delete account, email support@shopease.in from registered email with subject 'DELETE ACCOUNT'. Deletion takes 7 days and is irreversible. Wallet balance forfeited.","account, privacy",privacy_policy.pdf p.15
KB008,Discount,Can coupon codes be stacked?,Only one coupon per order. Coupon cannot be combined with store credit or employee discount. Max discount capped at Rs.1000 per coupon.,"coupon, discount",promo_terms.pdf p.4
KB009,Data Center,Where is data hosted?,Primary data center is in Mumbai (AWS ap-south-1). Backup in Singapore. All user PII encrypted at rest with AES-256.,"infrastructure, data",security_whitepaper.pdf p.9
KB010,Contact,What is support contact?,"Support: support@shopease.in, Phone: +91-80-4567-8900 (10am-7pm IST Mon-Sat). For escalation: escalate@shopease.in","support, contact",contact.pdf p.1
